         45  6906

  0 31  0 31 18 21 31 29  0  0 29 31  4  0  2  6 31 18 18 29 31  1 29  0  0  0  0 29  0  0 29  2  0  0 29  0 21  0 31  4  0  0  0 29  0
 31  0 31  0  0  0  0  0 40 21  0  5 31 21 31  0  0  0  0  0  6 40  0 40 40  2 17  0 17 31  0  0 40 17  0 21  0 31  0  0  4 40 31  0 40
  0 31  0 31 24  9 31 29  0  0 29 31  0  0  0 21 31 24 24 29 31  0 29  0  0  0  0 29  0  2 29 21  0  0 29  0  5  0 31 21  0  0  5 29  0
 31  0 31  0  0  0  0  0 40  5  0  0 31  4 31  0 10  0  0  0  0 40  0 40 40 21 12  0 12 31  0  0 40 12  0  4  0 31  1  0 21 40 31  0 40
 18  0 24  0  0  0  0  0 29 31  0  0  7 31 18  0  0  7  7  0  0 29  0 29 29 31 31  0 31 24  0  3 29 31  0 31  0  4  0  0 31 29 24  0 29
 21  0  9  0  0  0  0  0 29 31  0  0 24 31 21  0  0  0  0  0  0 29  0 29 29 31 31  0 31  2  0  0 29 31  0 31  2 24  0  0 31 29  8  0 29
 31  0 31  0  0  0  0  0 40 12  0  0 31 12 31  0  0  0  0  0  0 40  0 40 40 17  6  0  2 31  0  0 40  4  0 12  0 31  7  0 17 40 31  0 40
 29  0 29  0  0  0  0  0 20 40  0  0 29 40 29  0  0  0  0  0  1  9  4 20  3 40 40  0 40 29  0  0 25 40  2 40  0 29  0  0 40 25 29  0 20
  0 40  0 40 29 29 40 20  0  0  9 40  0  0  0 29 40 29 29 15 40  0 20 10  0  0  0  7  0  0 15 29  0  0 20  0 29  0 40 29  0  0  0 15 10
  0 21  0  5 31 31 12 40  0  0 40 21  0  6  0 31 10 31 31 40 21  0 40  0  0  0  2 40  0  0 40 31  0  0 40  8 31  0 12 31  0  0  0 40  0
 29  0 29  0  0  0  0  0  9 40  0  0 29 40 29  0  0  0  0  0  0 20  0  9 20 40 40  5 40 29  0  0 15 40  0 40  0 29  0  0 40 15 29  0 10
 31  5 31  0  0  0  0  0 40 21  0  0 31 21 31  0  0  0  0  0  5 40  0 40 40  2 17  0 17 31  0  0 40 17  0 21  0 31  0  0  1 40 31  0 40
  4 31  0 31  7 24 31 29  0  0 29 31  0  0  0 18 31  3  5 29 31  0 29  0  0  0  0 29  0  0 29 18  0  0 29  0 24  1 31 18  0  0  0 29  0
  0 21  0  4 31 31 12 40  0  6 40 21  0  0  0 31  7 31 31 40 21  0 40  0  0  0  0 40  0  0 40 31  0  1 40  3 31  0 12 31  0  0  0 40  0
  2 31  0 31 18 21 31 29  0  0 29 31  0  0  0  6 31 18 18 29 31  0 29  0  0  0  0 29  0  0 29  6  0  0 29  0 21  0 31 10  0  0  0 29  0
