         27 3568

  0 10  1  0 30 29 30  1 12  0 30  0  0 30  0 18  0 12  1  0 30 29  0 29 29  0  0
 10  0 29 29  0  0  0  1  0 30  0 30 29  0 30  3 18  0 18 29  0  0 30  0  0 29 12
  1 29  0  1 28 13 28  0 29  0 28  0  2 28  0 29  0 29  0  0 28  1  0 13 15  0  0
  0 29  1  0 28 15 28  0 29  0 28  0  0 28  0 29  0 29  0  0 28 15  0 15  3  5  0
 30  0 28 28  0  0  0 30  0 10  0 14 28  0 14  0 30  0 30 28  4  0 20  0  0 28 30
 29  0 13 15  0  0  0 29  1 28  0 28 13  0 28  0 29  0 29  8  0  0 28 10  0 15 29
 30  0 28 28  0  0  0 30  0 20 10 21 28  0 21  0 30  0 30 28  1  0  3  1  0 28 30
  1  1  0  0 30 29 30  0 12  0 30  0  0 30  0 18  0 12  0  0 30 29  0 29 29  0  0
 12  0 29 29  0  1  0 12  0 30  0 30 29  0 30  0 14  1 14 29  0  0 30  0  0 29  1
  0 30  0  0 10 28 20  0 30  0 20  0  0 14  0 30  0 30  0  0  7 28  2 28 28  0  0
 30  0 28 28  0  0 10 30  0 20  0 21 28  0 21  0 30  0 30 28  0  0  9  0  0 28 30
  0 30  0  0 14 28 21  0 30  0 21  0  2  6  2 30  0 30  0  0 14 28  0 28 28  0  0
  0 29  2  0 28 13 28  0 29  0 28  2  0 28  0 29  0 29  0  0 28  2  0 13 15  0  0
 30  0 28 28  0  0  0 30  0 14  0  6 28  0  8  0 30  0 30 28  0  0 21  0  1 28 30
  0 30  0  0 14 28 21  0 30  0 21  2  0  8  0 30  0 30  0  0 14 28  0 28 28  0  0
 18  3 29 29  0  0  0 18  0 30  0 30 29  0 30  0  2  0  6 29  0  0 30  0  1 29 14
  0 18  0  0 30 29 30  0 14  0 30  0  0 30  0  2  0 14  2  0 30 29  0 29 29  1  0
 12  0 29 29  0  0  0 12  1 30  0 30 29  0 30  0 14  0 14 29  0  0 30  0  0 29  6
  1 18  0  0 30 29 30  0 14  0 30  0  0 30  0  6  2 14  0  0 30 29  0 29 29  0  0
  0 29  0  0 28  8 28  0 29  0 28  0  0 28  0 29  0 29  0  0 28 13  0 10 15  0  3
 30  0 28 28  4  0  1 30  0  7  0 14 28  0 14  0 30  0 30 28  0  0 20  1  0 28 30
 29  0  1 15  0  0  0 29  0 28  0 28  2  0 28  0 29  0 29 13  0  0 28  0  0 15 29
  0 30  0  0 20 28  3  0 30  2  9  0  0 21  0 30  0 30  0  0 20 28  0 28 28  0  0
