         27  2902

  0  0  0  2 18 24  0 25  0  0  7 24  0 24  0 15 24  0  0 25 25  1  0 15 25 24  0
  0  0  0  0 14 24  0 25  0  0 15 24  0 24  0  3 24  0  0 25 25  0  0 10 25 24  0
  0  0  0  1 24  4  0 26  0  0 24 14  0 11  0 24 11  0  4 26 26  0  0 24 26 14  0
  2  0  1  0  5 24  0 25  0  0 18 24  0 24  0 14 24  0  0 25 25  0  5 14 25 24  0
 18 14 24  5  0  2 25  0 25 25  0  0 24  0 25  0  0 24 24  0  0 18  2  0  0  0 25
 24 24  4 24  2  0 26  0 26 26  0  0 11  0 26  0  0 14  6  0  0 24 24  0  0  0 26
  0  0  0  0 25 26  0 12  0  4 25 26  0 26  0 25 26  0  0 12 14  0  0 25  3 26  2
 25 25 26 25  0  0 12  0 15 12  0  0 26  0  2  0  0 26 26  2  0 25 25  0  0  0 15
  0  0  0  0 25 26  0 15  0  1 25 26  0 26  0 25 26  0  0 15  5  0  0 25 14 26  4
  0  0  0  0 25 26  4 12  1  0 25 26  0 26  0 25 26  0  0 12 14  0  0 25  3 26  0
  7 15 24 18  0  0 25  0 25 25  0  0 24  0 25  0  0 24 24  0  0  6 18  0  0  0 25
 24 24 14 24  0  0 26  0 26 26  0  0 11  1 26  0  0  7 14  0  0 24 24  0  0  2 26
  0  0  0  0 24 11  0 26  0  0 24 11  0  4  0 24  2  1  0 26 26  0  0 24 26 11  0
 24 24 11 24  0  0 26  0 26 26  0  1  4  0 26  0  2 11 11  0  0 24 24  0  0  0 26
  0  0  0  0 25 26  0  2  0  0 25 26  0 26  0 25 26  0  0  6 15  0  0 25 12 26  0
 15  3 24 14  0  0 25  0 25 25  0  0 24  0 25  0  0 24 24  0  0 15 14 10  0  0 25
 24 24 11 24  0  0 26  0 26 26  0  0  2  2 26  0  0 11 11  0  0 24 24  0  0  4 26
  0  0  0  0 24 14  0 26  0  0 24  7  1 11  0 24 11  0  0 26 26  0  0 24 26  3  0
  0  0  4  0 24  6  0 26  0  0 24 14  0 11  0 24 11  0  0 26 26  0  0 24 26 14  0
 25 25 26 25  0  0 12  2 15 12  0  0 26  0  6  0  0 26 26  0  0 25 25  0  0  0 15
 25 25 26 25  0  0 14  0  5 14  0  0 26  0 15  0  0 26 26  0  0 25 25  0  1  0 10
  1  0  0  0 18 24  0 25  0  0  6 24  0 24  0 15 24  0  0 25 25  0  3 15 25 24  0
  0  0  0  5  2 24  0 25  0  0 18 24  0 24  0 14 24  0  0 25 25  3  0 14 25 24  0
 15 10 24 14  0  0 25  0 25 25  0  0 24  0 25 10  0 24 24  0  0 15 14  0  0  0 25
 25 25 26 25  0  0  3  0 14  3  0  0 26  0 12  0  0 26 26  0  1 25 25  0  0  0 14
 24 24 14 24  0  0 26  0 26 26  0  2 11  0 26  0  4  3 14  0  0 24 24  0  0  0 26
  0  0  0  0 25 26  2 15  4  0 25 26  0 26  0 25 26  0  0 15 10  0  0 25 14 26  0

  0  0 26 25 25  0  0 25  8 26  0 26  0  0 25  0  5  0 12  0  0 14 26 25  0  0 14
  0  0  0  0  0 24 25  0 25  0 25  0 18 24 10 24  0 24  0 14 24  0  0  2 25 14  0
